"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Uttar Pradesh","Installing community drinking water plants","WS/MP192/2023-2024/14648","MORADABAD(DISTRICT MAGISTRATE MORADABAD_IDA)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","07-Sep-2026","A TO Z ASSOCIATES","Payment In-Progress","197500"
"2","Odisha","Construction of boundary walls of existing public and community buildings","WS/MP138/2025-2026/205446","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","08-Sep-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","4000"
"3","Karnataka","Construction of community centers and community halls","WS/MP18296/2026-2027/230173","BALLARI(DEPUTY COMMISSIONER BELLARY_IDA)","Dr. Syed Naseer Hussain (2024-30) (2024-2030)","Elected MP","03-Sep-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","750000"
"4","Karnataka","Construction of community centers and community halls","WS/MP18296/2026-2027/226930","BALLARI(DEPUTY COMMISSIONER BELLARY_IDA)","Dr. Syed Naseer Hussain (2024-30) (2024-2030)","Elected MP","03-Sep-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","1125000"
"5","Uttar Pradesh","Purchase of ambulances (Four, three and two wheelers)","WS/MP887/2025-2026/207251","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Dinesh Sharma (2023-26) (2023-2026)","Elected MP","20-Aug-2026","FORCE MOTORS LIMITED","Payment In-Progress","4282950"
"6","Tamil Nadu","Construction of public toilets and bathrooms","WS/MP18439/2026-2027/247388","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Dr. M. Dhanapal (2025-31) (2025-2031)","Elected MP","04-Sep-2026","P VELLAIYAN CONTRACTOR","Payment In-Progress","8000"
"7","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/195366","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"8","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/197651","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"9","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/195355","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"10","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/195354","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"11","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/195375","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"12","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/197653","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"13","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/195368","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"14","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/197662","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"15","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/195376","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"16","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/195363","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"17","Uttar Pradesh","Installation of fixed garden gym equipment","WS/MP192/2025-2026/195336","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"18","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/195347","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"19","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/195377","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
